game_id,allInPings,assistMePings,assists,baitPings,baronKills,champExperience,champLevel,championName,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,doubleKills,dragonKills,firstBloodAssist,firstBloodKill,gameEndedInSurrender,goldEarned,goldSpent,individualPosition,item0,item1,item2,item3,item4,item5,item6,itemsPurchased,killingSprees,kills,lane,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,needVisionPings,neutralMinionsKilled,nexusKills,nexusLost,nexusTakedowns,objectivesStolen,participantId,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,summonerId,summonerLevel,summonerName,teamEarlySurrendered,teamId,teamPosition,timeCCingOthers,timePlayed,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageDealtToChampions,totalDamageShieldedOnTeammates,totalDamageTaken,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionClearedPings,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,gameStartTimestamp,gameEndTimestamp,abilityUses,acesBefore15Minutes,alliedJungleMonsterKills,baronTakedowns,bountyGold,buffsStolen,completeSupportQuestInTime,controlWardsPlaced,damagePerMinute,damageTakenOnTeamPercentage,dancedWithRiftHerald,deathsByEnemyChamps,dodgeSkillShotsSmallWindow,doubleAces,dragonTakedowns,earlyLaningPhaseGoldExpAdvantage,elderDragonKillsWithOpposingSoul,elderDragonMultikills,enemyChampionImmobilizations,enemyJungleMonsterKills,epicMonsterKillsNearEnemyJungler,epicMonsterKillsWithin30SecondsOfSpawn,epicMonsterSteals,epicMonsterStolenWithoutSmite,firstTurretKilled,firstTurretKilledTime,flawlessAces,fullTeamTakedown,gameLength,goldPerMinute,hadOpenNexus,highestWardKills,immobilizeAndKillWithAlly,initialBuffCount,initialCrabCount,jungleCsBefore10Minutes,kTurretsDestroyedBeforePlatesFall,kda,killAfterHiddenWithAlly,killParticipation,killedChampTookFullTeamDamageSurvived,killsNearEnemyTurret,killsOnOtherLanesEarlyJungleAsLaner,killsUnderOwnTurret,killsWithHelpFromEpicMonster,knockEnemyIntoTeamAndKill,landSkillShotsEarlyGame,laneMinionsFirst10Minutes,laningPhaseGoldExpAdvantage,legendaryCount,lostAnInhibitor,maxLevelLeadLaneOpponent,mejaisFullStackInTime,moreEnemyJungleThanOpponent,multikills,multikillsAfterAggressiveFlash,outerTurretExecutesBefore10Minutes,outnumberedKills,outnumberedNexusKill,perfectGame,pickKillWithAlly,playedChampSelectPosition,quickCleanse,quickFirstTurret,quickSoloKills,riftHeraldTakedowns,saveAllyFromDeath,scuttleCrabKills,skillshotsDodged,skillshotsHit,snowballsHit,soloBaronKills,soloKills,stealthWardsPlaced,survivedSingleDigitHpCount,survivedThreeImmobilizesInFight,takedownOnFirstTurret,takedowns,takedownsFirstXMinutes,takedownsInEnemyFountain,teamBaronKills,teamDamagePercentage,teamElderDragonKills,teamRiftHeraldKills,tookLargeDamageSurvived,turretPlatesTaken,turretsTakenWithRiftHerald,visionScorePerMinute,wardTakedowns
EUW1_6619488497,0,0,11,0,0,9421,12,Nautilus,2301,622,23815,9,0,0,False,False,False,7972,7125,UTILITY,3860,3190,3107,3158,2055,1028,3364,24,0,3,BOTTOM,0,1,331,8340,4930,11031,0,0,0,0,0,0,5,0,6482,1501,9382,0,53,30,20,10,3,4,6,14,Gi4ZjaRpGD-YAHGZok5VBGZPwl3Vt9WT5NYfJBcqGBgQTds,617,Giuse,False,Blue,UTILITY,51,28.7,0,22733,7800,1112,21780,0,4037,589,30,175,210,5,0,7910,1368,1365,1,1,1,0,0,66,9,5,27,True,2023-10-05 12:14:50.821,2023-10-05 12:43:33.044,113,0,0,1,150,0,0,7,271.74458879030726,0.17276742338392054,0,9,18,0,1,0,0,0,107,0,0,0,0,0,1,682.8107781,1,0,1722.4235067999998,277.71809993608827,0,,8,0,0,0.0,0,1.5555555555555556,3,0.3888888888888889,0,0,0.0,0,0,6,6,18,0,0,0,1,0,0.0,0,0,0,1,0,0,13,1,0,0,0,2,5,0,119,23,0,0,0,19,0,2,0,14,4,0,1,0.05502877738383744,0,2,0,0,10,2.311577191590454,5
EUW1_6619132258,0,3,10,0,0,13150,15,Blitzcrank,5502,584,37020,9,0,0,False,False,False,10254,9150,UTILITY,3860,3190,3107,3158,2055,3109,3364,27,1,4,BOTTOM,2,1,831,11605,6395,25024,0,0,0,1,0,0,5,0,6757,2554,12316,0,51,38,35,15,10,4,7,14,Gi4ZjaRpGD-YAHGZok5VBGZPwl3Vt9WT5NYfJBcqGBgQTds,617,Giuse,False,Blue,UTILITY,57,42.77,0,28711,10912,2310,40338,0,7916,2718,27,241,293,5,0,10348,1962,2997,0,3,8,0,0,113,12,4,61,False,2023-10-04 23:16:44.069,2023-10-04 23:59:30.455,139,0,0,1,300,0,1,9,255.09896202322625,0.16482642507386916,0,9,4,0,1,0,0,0,63,0,0,0,0,0,0,,0,0,2566.6220356,239.72461544183514,0,,11,0,0,0.0,0,1.5555555555555556,2,0.5,0,1,0.0,0,3,7,1,11,0,0,0,1,0,0.0,0,0,0,0,0,0,11,1,0,0,0,0,0,0,70,19,0,0,0,49,0,0,1,14,1,0,1,0.06668088329822319,0,1,0,0,10,2.661899116215418,4
EUW1_6619031295,0,1,21,0,0,11924,14,Sylas,4294,2924,23799,11,0,0,False,True,False,11755,11275,UTILITY,3157,6656,3860,4629,2055,3158,3364,26,1,6,TOP,2,1,432,53228,22538,15113,0,4,0,0,0,0,10,0,2460,283,17825,0,68,41,108,21,4,4,6,14,Gi4ZjaRpGD-YAHGZok5VBGZPwl3Vt9WT5NYfJBcqGBgQTds,617,Giuse,False,Red,UTILITY,33,30.43,4,74270,24532,0,34019,0,6348,0,45,216,310,1,0,18581,1710,1080,2,5,6,0,0,46,7,1,19,True,2023-10-04 22:14:22.625,2023-10-04 22:44:48.571,238,0,1,0,800,0,1,5,806.0057152942377,0.2182523844496786,0,11,0,0,1,0,0,0,39,0,0,0,0,0,1,746.7715254,0,0,1826.2098618,386.2367358164816,0,,12,0,0,0.0,1,2.4545454545454546,5,0.7105263157894737,0,2,0.0,1,0,0,3,13,0,0,0,1,0,0.0,0,0,0,1,0,0,23,1,0,0,0,0,0,0,25,17,0,0,0,14,0,2,1,27,9,0,0,0.17585508412628847,0,1,0,3,5,1.5147353698351145,1
EUW1_6618990829,1,3,3,0,0,5559,9,Nautilus,273,0,13436,4,0,0,False,False,False,4690,4125,UTILITY,3859,3190,2055,3158,0,0,3364,16,0,1,BOTTOM,0,1,471,5794,2955,4383,0,0,0,1,0,0,5,0,4450,1547,6900,0,38,28,15,3,7,4,3,14,Gi4ZjaRpGD-YAHGZok5VBGZPwl3Vt9WT5NYfJBcqGBgQTds,617,Giuse,False,Blue,UTILITY,42,20.08,0,15702,4973,0,11449,0,1212,396,25,169,69,4,0,5457,470,165,0,0,8,0,0,26,5,3,14,False,2023-10-04 21:46:13.935,2023-10-04 22:06:19.305,84,0,0,0,0,0,0,4,247.50631340512675,0.1476508670021887,0,4,7,0,1,0,0,0,88,0,0,0,0,0,0,,0,0,1205.5568425,233.42406317311415,0,,4,0,0,0.0,0,1.0,1,0.5714285714285714,0,0,0.0,1,0,3,6,11,0,0,0,1,0,0.0,0,0,0,0,0,0,4,1,0,0,0,0,10,0,86,15,0,0,0,10,0,4,0,4,2,0,0,0.1276141289464536,0,0,0,0,0,1.3360148323449474,3
EUW1_6618910105,0,0,11,0,0,6983,10,Nautilus,983,983,22819,6,0,0,False,False,False,6456,5450,UTILITY,3860,3190,2055,3012,1029,3158,3364,18,1,3,BOTTOM,2,1,700,10584,4296,4398,0,0,0,1,0,0,5,0,6931,1899,10413,0,32,34,30,7,4,4,4,14,Gi4ZjaRpGD-YAHGZok5VBGZPwl3Vt9WT5NYfJBcqGBgQTds,617,Giuse,False,Blue,UTILITY,50,23.5,0,23454,6683,183,15876,0,1307,504,31,256,108,4,0,5939,487,1065,0,0,10,0,0,42,6,2,18,False,2023-10-04 21:00:18.726,2023-10-04 21:23:48.670,103,0,0,0,0,0,0,4,284.3674468271987,0.15443433047597882,0,6,2,0,0,0,0,0,88,0,0,0,0,0,0,,0,0,1410.1823041999999,274.6919192221062,0,,12,0,0,0.0,0,2.3333333333333335,0,0.5384615384615384,0,0,0.0,0,0,8,5,13,0,0,0,1,0,0.0,0,0,0,0,0,0,13,1,0,0,0,0,8,0,26,16,0,0,0,14,0,4,0,14,7,0,0,0.08946389647275223,0,0,0,0,0,1.805824224990405,2
EUW1_6618859895,0,1,8,0,0,7968,11,Sylas,88,0,9795,10,0,0,False,False,True,7235,6035,UTILITY,3860,6656,0,3158,3108,1052,3364,20,0,2,BOTTOM,0,1,233,28159,10668,9551,0,0,0,0,0,0,10,0,1615,141,12000,0,56,17,73,18,4,4,6,14,Gi4ZjaRpGD-YAHGZok5VBGZPwl3Vt9WT5NYfJBcqGBgQTds,617,Giuse,False,Red,UTILITY,22,25.72,0,36630,13223,0,23086,0,2499,0,43,203,213,1,0,6855,2413,1534,0,0,7,0,0,51,6,3,23,False,2023-10-04 20:28:01.141,2023-10-04 20:53:44.075,164,0,0,0,300,0,0,6,514.1699878386306,0.2126932705850989,0,10,0,0,0,0,0,0,20,0,0,0,0,0,0,,0,1,1543.1175016,281.34572465712876,0,,2,0,0,0.0,0,1.0,0,0.5882352941176471,0,0,0.0,1,0,1,1,12,0,0,0,1,0,0.0,0,0,0,1,0,0,9,1,0,0,0,0,0,0,8,10,0,0,0,18,0,0,0,10,4,0,0,0.17583659284895103,0,0,0,0,0,2.0177436694483535,3
EUW1_6618785055,0,2,15,0,0,8040,11,Nautilus,6621,307,20781,7,0,0,True,False,False,7775,6950,UTILITY,3860,3190,3107,3158,2055,1028,3364,21,0,1,BOTTOM,0,1,412,10578,3161,8069,0,0,0,0,0,0,5,0,10634,2041,9249,0,49,40,23,7,12,4,6,14,Gi4ZjaRpGD-YAHGZok5VBGZPwl3Vt9WT5NYfJBcqGBgQTds,616,Giuse,False,Blue,UTILITY,43,26.68,0,30831,5880,1466,18148,0,3411,2539,33,214,172,8,0,9619,677,828,0,5,5,0,0,45,6,5,21,True,2023-10-04 19:41:57.064,2023-10-04 20:08:38.205,119,0,0,0,0,0,0,4,220.32253438957898,0.17289531235047564,0,7,0,0,3,0,0,0,78,0,0,0,0,0,0,,0,1,1601.3907596,291.33440530524155,0,1.0,12,0,0,0.0,0,2.2857142857142856,2,0.5,0,1,0.0,0,0,5,6,13,0,0,0,2,0,0.0,0,0,0,0,0,0,10,1,0,0,0,2,4,0,30,13,0,0,0,17,0,0,1,16,10,0,1,0.08525796366650772,0,2,0,1,5,1.7146551424380885,5
EUW1_6618760546,1,0,8,0,0,4255,8,Sylas,0,0,4401,5,1,0,False,False,True,6118,5660,UTILITY,2420,6656,3859,1052,2055,3158,3364,16,2,7,NONE,4,2,364,15781,8276,2923,0,6,0,0,0,0,10,0,1985,180,6435,0,21,17,44,11,2,4,3,14,Gi4ZjaRpGD-YAHGZok5VBGZPwl3Vt9WT5NYfJBcqGBgQTds,616,Giuse,False,Red,UTILITY,25,15.2,0,22244,8878,0,9703,2,1025,0,26,87,87,1,0,4477,421,344,0,0,0,0,0,17,3,2,6,True,2023-10-04 19:18:52.843,2023-10-04 19:34:05.220,93,0,0,0,0,0,0,2,583.6898366353049,0.21584334415163015,0,5,11,0,0,0,0,0,14,1,0,0,0,0,1,800.3533812999999,0,0,912.6535501,402.2254130624403,0,1.0,5,0,0,4.0,0,3.0,1,0.5555555555555556,0,0,1.0,0,0,0,2,17,1,0,0,1,0,0.0,1,0,0,1,0,0,13,1,0,0,0,0,0,1,80,7,0,0,0,4,0,3,0,15,15,0,0,0.20911602734461116,0,1,0,0,0,1.1215606466824262,2
EUW1_6618539793,3,7,16,0,0,10640,13,Nautilus,2620,649,40694,6,0,0,False,False,False,8660,7700,UTILITY,3860,3190,3107,3158,0,3023,3364,24,0,2,BOTTOM,0,1,473,17364,5519,7010,0,0,0,1,0,0,10,0,11693,2710,16345,0,61,49,40,11,13,4,7,14,Gi4ZjaRpGD-YAHGZok5VBGZPwl3Vt9WT5NYfJBcqGBgQTds,616,Giuse,False,Red,UTILITY,61,30.55,0,36187,9976,803,25906,0,3944,1566,40,340,154,10,0,7130,1745,2550,0,1,9,0,0,73,8,4,38,False,2023-10-04 16:40:52.230,2023-10-04 17:11:25.703,161,0,0,1,0,0,0,8,326.43439083059496,0.21229791399370473,0,6,0,0,1,1,0,0,110,0,0,0,0,0,0,,0,0,1833.6958468,283.387203175946,0,,17,0,0,0.0,0,3.0,4,0.5142857142857142,0,0,0.0,0,1,14,4,17,0,0,0,2,0,0.0,0,0,0,1,0,0,16,1,0,0,0,0,1,0,11,19,0,0,1,29,0,3,0,18,10,0,1,0.09146904514256254,0,0,0,1,0,2.4086574419704236,4
EUW1_6618511609,0,0,20,0,0,8062,11,Blitzcrank,628,314,8009,2,0,0,True,False,False,8043,7425,UTILITY,3157,2065,3859,3158,2055,0,3364,24,2,4,BOTTOM,2,1,972,7869,5493,3601,0,0,0,0,1,0,5,0,5963,2842,6873,0,28,28,30,8,6,4,6,14,Gi4ZjaRpGD-YAHGZok5VBGZPwl3Vt9WT5NYfJBcqGBgQTds,616,Giuse,False,Blue,UTILITY,36,22.5,0,18942,9121,0,11748,0,1095,1020,28,97,58,4,0,5108,786,1272,0,2,2,0,0,54,10,2,27,True,2023-10-04 16:13:44.456,2023-10-04 16:36:14.446,94,0,0,1,0,0,0,6,405.36470375973505,0.15137737398267456,0,2,0,0,1,0,0,0,53,0,0,0,0,0,1,768.0767682999999,0,2,1350.1731984,357.44802137471464,0,,21,0,0,0.0,0,12.0,4,0.631578947368421,0,2,0.0,0,0,11,6,14,0,0,0,2,0,0.0,0,0,0,1,0,0,23,1,0,0,0,0,0,0,16,17,0,0,0,18,0,0,0,24,13,0,1,0.11807998287253875,0,2,0,0,15,2.4168669161802048,5
