game_id,allInPings,assistMePings,assists,baitPings,baronKills,champExperience,champLevel,championName,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,doubleKills,dragonKills,firstBloodAssist,firstBloodKill,gameEndedInSurrender,goldEarned,goldSpent,individualPosition,item0,item1,item2,item3,item4,item5,item6,itemsPurchased,killingSprees,kills,lane,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,needVisionPings,neutralMinionsKilled,nexusKills,nexusLost,nexusTakedowns,objectivesStolen,participantId,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,summonerId,summonerLevel,summonerName,teamEarlySurrendered,teamId,teamPosition,timeCCingOthers,timePlayed,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageDealtToChampions,totalDamageShieldedOnTeammates,totalDamageTaken,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionClearedPings,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,gameStartTimestamp,gameEndTimestamp,abilityUses,acesBefore15Minutes,alliedJungleMonsterKills,baronTakedowns,bountyGold,buffsStolen,completeSupportQuestInTime,controlWardsPlaced,damagePerMinute,damageTakenOnTeamPercentage,dancedWithRiftHerald,deathsByEnemyChamps,dodgeSkillShotsSmallWindow,doubleAces,dragonTakedowns,earlyLaningPhaseGoldExpAdvantage,elderDragonKillsWithOpposingSoul,elderDragonMultikills,enemyChampionImmobilizations,enemyJungleMonsterKills,epicMonsterKillsNearEnemyJungler,epicMonsterKillsWithin30SecondsOfSpawn,epicMonsterSteals,epicMonsterStolenWithoutSmite,firstTurretKilled,firstTurretKilledTime,flawlessAces,fullTeamTakedown,gameLength,goldPerMinute,hadOpenNexus,highestWardKills,immobilizeAndKillWithAlly,initialBuffCount,initialCrabCount,jungleCsBefore10Minutes,kTurretsDestroyedBeforePlatesFall,kda,killAfterHiddenWithAlly,killParticipation,killedChampTookFullTeamDamageSurvived,killsNearEnemyTurret,killsOnOtherLanesEarlyJungleAsLaner,killsUnderOwnTurret,killsWithHelpFromEpicMonster,knockEnemyIntoTeamAndKill,landSkillShotsEarlyGame,laneMinionsFirst10Minutes,laningPhaseGoldExpAdvantage,legendaryCount,lostAnInhibitor,maxLevelLeadLaneOpponent,mejaisFullStackInTime,moreEnemyJungleThanOpponent,multikills,multikillsAfterAggressiveFlash,outerTurretExecutesBefore10Minutes,outnumberedKills,outnumberedNexusKill,perfectGame,pickKillWithAlly,playedChampSelectPosition,quickCleanse,quickFirstTurret,quickSoloKills,riftHeraldTakedowns,saveAllyFromDeath,scuttleCrabKills,skillshotsDodged,skillshotsHit,snowballsHit,soloBaronKills,soloKills,stealthWardsPlaced,survivedSingleDigitHpCount,survivedThreeImmobilizesInFight,takedownOnFirstTurret,takedowns,takedownsFirstXMinutes,takedownsInEnemyFountain,teamBaronKills,teamDamagePercentage,teamElderDragonKills,teamRiftHeraldKills,tookLargeDamageSurvived,turretPlatesTaken,turretsTakenWithRiftHerald,visionScorePerMinute,wardTakedowns,highestChampionDamage
EUW1_6618560408,0,0,30,0,0,29610,18,Zeri,4566,4566,36096,20,6,0,False,False,False,22330,24600,Invalid,3087,3006,6675,3085,3036,3091,0,32,9,30,TOP,4,3,206,76649,25388,24771,0,0,0,1,0,0,7,0,109015,29867,28975,0,434,45,53,14,6,4,30,32,RuUThjmBz64Y-WppTyaSe2Hu_aDPYDNdST2nHnN3yA315Llz,47,Joeee Biden,False,Red,,3,26.4,0,191301,57430,0,56132,0,8449,0,129,93,588,1,2,5636,2174,2385,1,3,4,0,0,0,0,0,0,False,2023-10-04 17:03:05.925,2023-10-04 17:29:30.274,546,3,0,0,975,0,0,0,2174.521644131717,0.2731036839929716,0,20,0,0,0,0.0,0,0,0,0,0,0,0,0,1,569.0200583,0,15,1584.6428051999999,845.5078983199616,0,,0,0,0,0,0,3.0,22,0.7317073170731707,0,2,0,11,0,0,232,41,0.0,0,0,1.0,0,0,8,0,0,7,0,0,42,,0,0,1,0,0,0,43,637,13,0,2,0,0,2,0,60,41,0,0,0.28234403926831164,0,0,0,0,0,0.0,0,
EUW1_6617436678,0,0,12,0,0,11558,14,Zeri,6275,2099,9000,8,3,0,True,False,True,13832,12250,BOTTOM,1083,3087,3006,6675,3085,3035,3340,26,4,17,TOP,6,3,274,34907,12975,5957,0,16,0,0,0,0,9,0,71585,18340,13772,0,480,25,37,7,4,4,5,1,RuUThjmBz64Y-WppTyaSe2Hu_aDPYDNdST2nHnN3yA315Llz,47,Joeee Biden,False,Red,BOTTOM,11,22.52,6,119479,31981,0,20647,7,5391,0,116,139,191,1,1,12985,664,918,1,1,0,0,0,8,0,4,3,True,2023-10-03 17:36:47.065,2023-10-03 17:59:18.883,549,0,3,0,0,0,0,0,1419.2530817760323,0.24644514839122827,0,8,3,0,1,1.0,0,0,0,9,0,0,0,0,1,718.9262262999999,0,1,1352.0265527,613.8414224827008,0,1.0,0,0,0,0,0,3.625,3,0.58,0,6,0,1,0,0,154,60,1.0,0,0,4.0,0,0,4,2,0,9,0,0,16,1.0,1,0,0,0,0,0,71,685,0,0,9,3,0,8,0,29,14,0,0,0.35654167095758754,0,1,0,2,0,0.3868966609207485,4,1.0
EUW1_6617381694,0,0,12,0,0,10458,13,Lissandra,3864,975,11407,15,0,0,False,False,False,8801,8450,UTILITY,3853,6656,3157,1082,3158,3916,3340,19,0,1,BOTTOM,0,1,245,66255,19788,15487,0,0,0,1,0,0,5,0,2927,1172,15951,0,90,31,56,19,5,4,6,14,RuUThjmBz64Y-WppTyaSe2Hu_aDPYDNdST2nHnN3yA315Llz,47,Joeee Biden,False,Blue,UTILITY,76,33.32,0,70691,22468,0,31622,0,3499,0,43,406,366,1,0,1508,1508,182,0,1,7,0,0,27,0,3,11,False,2023-10-03 16:54:17.860,2023-10-03 17:27:37.377,196,0,0,1,0,0,1,0,674.118106860583,0.1852805782633483,0,15,0,0,1,0.0,0,0,47,1,0,0,0,0,0,,0,0,1999.8378048,264.05589672136495,0,,8,0,0,0,0,0.8666666666666667,2,0.52,0,0,0,0,0,0,20,10,0.0,0,0,0.0,0,0,0,0,0,0,0,0,10,1.0,0,0,0,0,0,0,34,97,0,0,0,10,0,0,0,13,5,0,1,0.2040791541470116,0,2,0,1,0,0.8161655466720182,3,
EUW1_6617336527,0,0,6,0,0,14799,16,Zed,2804,2804,22242,14,1,0,False,False,False,14313,13150,MIDDLE,6692,3158,6694,3179,3074,1036,3340,21,3,9,MIDDLE,2,2,302,6310,1651,2426,0,0,0,1,0,0,8,0,119031,25850,26457,0,105,77,79,20,5,4,7,14,RuUThjmBz64Y-WppTyaSe2Hu_aDPYDNdST2nHnN3yA315Llz,47,Joeee Biden,False,Red,MIDDLE,12,32.88,0,131303,29962,0,29442,0,2565,0,155,291,451,1,0,5960,2460,558,1,1,8,0,0,9,0,0,6,False,2023-10-03 16:15:14.564,2023-10-03 16:48:07.489,281,0,0,0,1250,0,0,0,911.1312099108277,0.19198450758926772,0,14,0,0,0,0.0,0,0,0,0,0,0,0,0,0,,0,1,1973.106493,435.25450812742827,0,,0,0,0,0,0,1.0714285714285714,0,0.32608695652173914,0,2,0,2,0,0,22,51,0.0,0,0,1.0,0,0,1,0,0,1,0,0,9,1.0,0,0,0,0,0,0,11,82,0,0,4,6,1,0,0,15,3,0,0,0.2167471005867266,0,1,0,1,0,0.2950534504245318,0,
EUW1_6616161878,0,1,10,0,0,13209,15,AurelionSol,7551,3780,14886,16,2,0,True,False,True,11247,8350,MIDDLE,6653,3020,3070,1056,3116,3067,3340,22,2,7,MIDDLE,3,3,430,106513,25836,13155,0,0,0,0,0,0,8,0,4107,375,18463,0,97,36,55,13,4,4,5,12,RuUThjmBz64Y-WppTyaSe2Hu_aDPYDNdST2nHnN3yA315Llz,47,Joeee Biden,False,Red,MIDDLE,21,30.72,0,114445,26865,0,33416,0,2042,0,156,364,497,1,1,3823,653,1796,1,3,8,0,0,7,0,0,4,False,2023-10-02 17:26:39.370,2023-10-02 17:57:23.050,201,0,1,0,300,0,0,0,874.1793943227018,0.21227701296136375,0,15,0,0,1,0.0,0,0,18,0,0,0,0,0,1,804.6320283,0,1,1843.9476223,365.9921376668325,0,,3,0,0,0,0,1.0625,1,0.4722222222222222,0,3,0,0,1,0,0,71,0.0,0,0,1.0,0,0,3,0,0,1,0,0,15,1.0,0,0,0,0,0,0,19,0,0,0,1,4,0,0,0,17,8,0,0,0.21146018804684047,0,0,0,0,0,0.2305947439915367,0,
EUW1_6615954217,0,1,11,0,0,23458,18,Zeri,9428,3711,32314,18,2,0,False,False,True,23377,33350,MIDDLE,3026,3046,3085,3006,6675,6676,3340,37,6,21,MIDDLE,3,3,173,66133,21740,31000,0,20,0,0,0,0,8,0,239162,47226,26706,0,810,64,78,21,7,4,9,1,RuUThjmBz64Y-WppTyaSe2Hu_aDPYDNdST2nHnN3yA315Llz,47,Joeee Biden,False,Red,MIDDLE,10,43.42,8,320504,72572,0,58328,12,14614,0,262,103,650,1,1,15210,3604,622,3,4,5,0,0,22,0,3,9,False,2023-10-02 14:08:51.309,2023-10-02 14:52:16.366,973,0,12,1,1100,0,0,0,1671.3263013803253,0.2279906859492221,0,18,0,0,0,0.0,0,0,2,10,0,0,0,0,0,,0,2,2605.3128973999997,538.3804054638847,0,,1,0,0,0,0,1.7777777777777777,3,0.6530612244897959,0,8,0,1,0,1,114,66,0.0,0,0,3.0,0,0,3,0,0,4,0,0,23,1.0,0,0,0,0,0,0,13,873,0,0,6,9,0,5,0,32,6,0,2,0.4191605937557118,0,0,0,1,0,0.5218118954023179,3,
EUW1_6615911362,0,0,25,0,0,15934,16,Neeko,256,256,12602,14,2,0,True,False,True,11549,11150,Invalid,6655,3020,3165,3102,1058,0,2052,19,2,10,NONE,2,2,95,52515,27191,12283,0,0,0,0,0,0,3,0,3161,1323,10447,0,60,33,50,10,4,4,19,32,RuUThjmBz64Y-WppTyaSe2Hu_aDPYDNdST2nHnN3yA315Llz,47,Joeee Biden,False,Blue,,50,16.88,0,57700,30492,0,23470,0,826,0,33,115,294,1,0,2023,1978,739,0,0,2,0,0,0,0,0,0,False,2023-10-02 13:18:08.608,2023-10-02 13:35:01.674,153,1,0,0,600,0,0,0,1805.67298641097,0.2296480614253369,0,14,5,0,0,0.0,0,0,50,0,0,0,0,0,1,456.01240789999997,0,9,1013.2257983,683.9390090542466,0,,15,0,0,0,0,2.5,9,0.5932203389830508,0,2,0,5,0,0,30,19,0.0,0,0,2.0,0,0,2,0,0,2,0,0,24,,0,0,0,0,0,0,84,68,6,0,0,0,0,5,0,35,31,0,0,0.22337333671279228,0,0,0,0,0,0.0,0,
EUW1_6615885013,0,1,1,0,0,7682,11,Viktor,0,0,8312,8,0,0,False,False,True,6511,5950,MIDDLE,1056,6655,3145,3020,1082,0,3340,17,0,2,MIDDLE,0,1,569,52734,14779,11201,0,0,0,0,0,0,8,0,9486,498,2820,0,57,11,58,26,4,4,3,12,RuUThjmBz64Y-WppTyaSe2Hu_aDPYDNdST2nHnN3yA315Llz,46,Joeee Biden,False,Red,MIDDLE,9,20.17,0,62617,15674,0,14930,0,0,0,116,70,224,0,0,396,396,909,0,0,3,0,0,6,0,0,4,False,2023-10-02 12:35:45.755,2023-10-02 12:55:55.940,152,0,0,0,150,0,0,0,777.0105629722308,0.2090694259392488,0,8,18,0,0,0.0,0,0,3,0,0,0,0,0,0,,0,0,1210.3938523,322.80138064001386,0,,1,0,0,0,0,0.375,0,0.23076923076923078,0,1,0,0,0,0,19,74,0.0,0,0,1.0,0,0,0,0,0,0,0,0,2,1.0,0,0,0,0,0,0,127,61,0,0,0,4,0,18,0,3,3,0,0,0.2693769452869567,0,1,0,0,0,0.3261681294706102,0,
EUW1_6615793179,0,0,2,0,0,19377,18,Zeri,14657,10957,17843,6,1,0,False,True,False,19690,20250,MIDDLE,3087,3095,3006,6675,3085,3046,3340,23,4,23,MIDDLE,8,2,764,77389,15820,12315,0,29,1,0,1,0,3,0,135023,19638,18718,0,566,34,53,13,5,4,6,6,RuUThjmBz64Y-WppTyaSe2Hu_aDPYDNdST2nHnN3yA315Llz,46,Joeee Biden,False,Blue,MIDDLE,6,32.48,12,228225,36540,0,33541,6,7688,0,235,140,285,1,0,15813,1081,2507,4,4,7,0,0,26,0,5,9,True,2023-10-02 09:59:43.658,2023-10-02 10:32:12.755,666,0,13,1,150,0,0,0,1124.7195106549402,0.2122481580272032,0,6,0,0,0,1.0,0,0,1,3,0,0,0,0,1,585.9255572999999,0,0,1949.3003821,606.0770026319587,0,1.0,1,0,0,0,1,4.166666666666667,3,0.4032258064516129,0,2,1,0,0,1,165,83,1.0,1,0,2.0,0,0,1,0,0,2,0,0,16,1.0,0,1,0,0,0,2,8,487,0,0,8,9,0,0,1,25,7,0,1,0.2605649264342046,0,0,0,5,0,0.8049587542147373,9,
EUW1_6615790185,0,0,0,0,0,227,1,Zeri,0,0,184,0,0,0,False,True,False,965,500,MIDDLE,1036,2031,0,0,0,0,3340,3,0,1,NONE,0,1,0,203,203,62,0,0,0,0,0,0,8,0,662,355,547,0,12,0,0,0,1,4,1,6,RuUThjmBz64Y-WppTyaSe2Hu_aDPYDNdST2nHnN3yA315Llz,46,Joeee Biden,False,Red,MIDDLE,0,2.02,0,909,559,0,680,0,30,0,2,0,0,1,0,42,0,70,0,0,0,0,0,0,0,0,0,True,2023-10-02 09:50:51.963,2023-10-02 09:52:52.970,12,0,0,0,0,0,0,0,276.82083528959816,0.4199913840373116,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,121.1661759,478.08413959464576,0,,0,0,0,0,0,1.0,0,1.0,0,1,0,0,0,0,43,2,,0,0,,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,1,43,0,0,1,0,0,0,0,1,1,0,0,0.7488012873242915,0,0,0,0,0,0.0,0,1.0
