game_id,allInPings,assistMePings,assists,baitPings,baronKills,champExperience,champLevel,championName,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,doubleKills,dragonKills,firstBloodAssist,firstBloodKill,gameEndedInSurrender,goldEarned,goldSpent,individualPosition,item0,item1,item2,item3,item4,item5,item6,itemsPurchased,killingSprees,kills,lane,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,needVisionPings,neutralMinionsKilled,nexusKills,nexusLost,nexusTakedowns,objectivesStolen,participantId,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,summonerId,summonerLevel,summonerName,teamEarlySurrendered,teamId,teamPosition,timeCCingOthers,timePlayed,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageDealtToChampions,totalDamageShieldedOnTeammates,totalDamageTaken,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionClearedPings,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,gameStartTimestamp,gameEndTimestamp,abilityUses,acesBefore15Minutes,alliedJungleMonsterKills,baronTakedowns,bountyGold,buffsStolen,completeSupportQuestInTime,controlWardsPlaced,damagePerMinute,damageTakenOnTeamPercentage,dancedWithRiftHerald,deathsByEnemyChamps,dodgeSkillShotsSmallWindow,doubleAces,dragonTakedowns,earlyLaningPhaseGoldExpAdvantage,elderDragonKillsWithOpposingSoul,elderDragonMultikills,enemyChampionImmobilizations,enemyJungleMonsterKills,epicMonsterKillsNearEnemyJungler,epicMonsterKillsWithin30SecondsOfSpawn,epicMonsterSteals,epicMonsterStolenWithoutSmite,firstTurretKilled,firstTurretKilledTime,flawlessAces,fullTeamTakedown,gameLength,goldPerMinute,hadOpenNexus,highestWardKills,immobilizeAndKillWithAlly,initialBuffCount,initialCrabCount,jungleCsBefore10Minutes,kTurretsDestroyedBeforePlatesFall,kda,killAfterHiddenWithAlly,killParticipation,killedChampTookFullTeamDamageSurvived,killsNearEnemyTurret,killsOnOtherLanesEarlyJungleAsLaner,killsUnderOwnTurret,killsWithHelpFromEpicMonster,knockEnemyIntoTeamAndKill,landSkillShotsEarlyGame,laneMinionsFirst10Minutes,laningPhaseGoldExpAdvantage,legendaryCount,lostAnInhibitor,maxLevelLeadLaneOpponent,mejaisFullStackInTime,moreEnemyJungleThanOpponent,multikills,multikillsAfterAggressiveFlash,outerTurretExecutesBefore10Minutes,outnumberedKills,outnumberedNexusKill,perfectGame,pickKillWithAlly,playedChampSelectPosition,quickCleanse,quickFirstTurret,quickSoloKills,riftHeraldTakedowns,saveAllyFromDeath,scuttleCrabKills,skillshotsDodged,skillshotsHit,snowballsHit,soloBaronKills,soloKills,stealthWardsPlaced,survivedSingleDigitHpCount,survivedThreeImmobilizesInFight,takedownOnFirstTurret,takedowns,takedownsFirstXMinutes,takedownsInEnemyFountain,teamBaronKills,teamDamagePercentage,teamElderDragonKills,teamRiftHeraldKills,tookLargeDamageSurvived,turretPlatesTaken,turretsTakenWithRiftHerald,visionScorePerMinute,wardTakedowns,highestChampionDamage
EUW1_6617841323,0,0,22,0,0,19386,18,Briar,182,182,63856,16,1,0,False,True,False,15635,13800,Invalid,6632,3047,3748,3071,3053,0,2052,13,3,14,TOP,3,2,202,2379,893,24690,0,0,0,1,0,0,9,0,54167,30767,34426,0,31,55,18,10,20,32,5,4,tR_DvJn30ptzLtWOY7y9e6_qcHT5y5HcU1QIQ8zx7lRIrTI,248,Mushimaster,False,Red,,31,23.45,0,57531,32216,0,60253,0,27119,0,34,192,422,1,0,985,555,1136,0,0,4,0,0,0,0,0,0,False,2023-10-03 21:58:36.635,2023-10-03 22:22:03.903,114,1,0,0,750,0,0,0,1373.3729801347383,0.27216130971778507,0,16,1,0,0,0.0,0,0,40,0,0,0,0,0,1,700.2786881999999,0,5,1407.4615107,666.5259004593894,0,,23,0,0,0,0,2.25,9,0.6,2,7,0,0,0,0,12,13,0.0,0,0,2.0,0,0,1,0,0,6,0,0,26,,0,0,0,0,0,0,54,22,6,0,0,0,0,3,0,36,32,0,0,0.19645066129285182,0,0,0,0,0,0.0,0,
EUW1_6617806249,0,0,12,0,0,15340,16,Pyke,0,0,22201,10,2,0,True,False,False,12291,10500,Invalid,6696,3047,6691,6333,0,0,2052,12,4,14,NONE,4,3,187,0,0,9379,0,0,0,1,0,0,5,0,15892,11450,12195,0,45,34,32,14,16,32,5,4,tR_DvJn30ptzLtWOY7y9e6_qcHT5y5HcU1QIQ8zx7lRIrTI,248,Mushimaster,False,Blue,,18,16.77,0,20204,15762,0,23675,0,5027,0,8,56,228,1,1,4312,4312,2100,0,0,4,0,0,0,0,0,0,False,2023-10-03 21:37:54.117,2023-10-03 21:54:40.671,125,0,0,0,1125,0,0,0,939.4562506890471,0.18914633594889327,0,10,14,0,0,0.0,0,0,25,0,0,0,0,0,0,,0,0,1006.7063387,732.5731902821782,0,,10,0,0,0,0,2.6,4,0.6046511627906976,0,0,0,2,0,7,11,6,0.0,0,0,2.0,0,0,3,0,0,11,0,0,21,,0,0,0,0,0,0,111,23,8,0,1,0,0,0,0,26,24,0,0,0.19365439521868158,0,0,0,0,0,0.0,0,
EUW1_6617436678,0,0,2,0,0,11534,14,Gragas,6532,2118,10780,2,1,0,True,False,True,9702,9050,MIDDLE,1056,3047,6655,4645,1058,0,3340,15,3,10,MIDDLE,4,2,670,88511,12579,3432,0,6,0,0,0,0,8,0,12972,1611,9046,0,160,67,52,7,3,12,4,4,tR_DvJn30ptzLtWOY7y9e6_qcHT5y5HcU1QIQ8zx7lRIrTI,247,Mushimaster,False,Red,MIDDLE,26,22.52,0,103726,14231,0,12926,5,5024,0,144,284,65,1,0,2241,40,448,0,1,0,0,0,6,0,0,4,True,2023-10-03 17:36:47.065,2023-10-03 17:59:18.883,286,0,0,0,0,0,0,0,631.5584896990686,0.1542929350326433,0,2,3,0,1,0.0,0,0,45,5,0,0,0,0,1,718.9262262999999,0,1,1352.0265527,430.59588522865266,0,,7,0,0,0,1,6.0,1,0.24,0,2,0,1,0,11,0,62,1.0,0,0,2.0,0,0,1,0,0,4,0,0,9,1.0,0,0,0,0,0,0,65,6,0,0,3,4,0,4,1,12,8,0,0,0.1586587495325169,0,1,0,4,0,0.29492115032800353,0,
EUW1_6617381694,0,0,8,0,0,17336,17,Gragas,2539,376,19890,3,0,0,False,False,False,12967,12100,MIDDLE,6656,1056,3158,4629,3089,1058,3340,17,1,4,MIDDLE,4,1,1506,169690,21899,13705,0,20,0,1,0,0,3,0,20133,2045,12040,0,273,104,98,14,4,12,5,4,tR_DvJn30ptzLtWOY7y9e6_qcHT5y5HcU1QIQ8zx7lRIrTI,247,Mushimaster,False,Blue,MIDDLE,58,33.32,16,191340,24859,0,26978,0,9570,0,227,487,102,1,0,1516,914,1232,0,0,7,0,0,22,0,4,9,False,2023-10-03 16:54:17.860,2023-10-03 17:27:37.377,489,0,11,1,0,0,0,0,745.8449588923883,0.15807482009205043,0,3,0,0,0,0.0,0,0,77,0,0,0,0,0,0,,0,0,1999.8378048,389.05039870986445,0,,8,0,0,4,0,4.0,2,0.48,0,1,0,0,0,8,0,64,0.0,0,0,2.0,0,0,0,0,0,0,0,0,9,1.0,0,0,0,1,0,1,18,19,0,0,0,9,0,9,0,12,6,0,1,0.2257933836615528,0,2,0,1,0,0.6757674839377558,4,
EUW1_6617336527,0,0,17,0,0,11650,14,Gragas,7391,591,29093,9,0,0,False,False,False,9730,9000,UTILITY,3157,3860,3047,3024,6655,1029,3364,21,1,5,BOTTOM,3,1,716,51911,16957,3798,0,2,0,1,0,0,10,0,7016,1420,21798,0,126,56,62,14,7,3,4,4,tR_DvJn30ptzLtWOY7y9e6_qcHT5y5HcU1QIQ8zx7lRIrTI,247,Mushimaster,False,Red,UTILITY,32,32.88,0,69357,18378,0,27206,2,4795,0,55,179,325,1,0,10429,0,1609,0,0,8,0,0,44,0,4,19,False,2023-10-03 16:15:14.564,2023-10-03 16:48:07.489,258,0,0,0,0,0,1,0,558.8631568288596,0.17740742318572406,0,9,0,0,2,0.0,0,0,40,1,0,0,0,0,0,,0,1,1973.106493,295.89496929208576,0,,10,0,0,0,0,2.4444444444444446,0,0.4782608695652174,0,2,0,1,0,11,1,14,0.0,0,0,2.0,0,0,0,0,0,1,0,0,18,1.0,0,0,0,0,0,0,12,14,0,0,1,19,0,1,0,22,11,0,0,0.13294678916690336,0,1,0,1,0,1.3605702620890148,4,
EUW1_6615793179,1,6,20,0,0,15319,16,Blitzcrank,918,386,22731,5,0,0,True,False,False,9846,8275,UTILITY,6656,3860,3117,3110,1011,1029,3364,20,1,4,BOTTOM,2,1,500,20373,7919,9419,0,0,0,0,0,0,5,0,7271,3308,14004,0,38,63,44,15,5,14,15,4,tR_DvJn30ptzLtWOY7y9e6_qcHT5y5HcU1QIQ8zx7lRIrTI,247,Mushimaster,False,Blue,UTILITY,50,32.48,0,31795,12313,0,24987,0,5641,0,34,482,120,1,0,4151,1085,1562,0,1,7,0,0,52,1,2,18,True,2023-10-02 09:59:43.658,2023-10-02 10:32:12.755,160,0,0,0,0,0,0,1,379.00575071533507,0.15811735019709056,0,5,0,0,1,1.0,0,0,59,0,0,0,0,0,1,585.9255572999999,0,0,1949.3003821,303.070243473611,0,,15,0,0,0,0,4.8,3,0.3870967741935484,0,0,0,2,0,11,3,12,0.0,0,0,2.0,0,0,0,0,0,0,0,0,21,1.0,0,0,0,0,0,0,3,15,0,0,1,17,0,0,0,24,9,0,1,0.08780465228683992,0,0,0,3,0,1.6087090482675106,4,
EUW1_6615790185,0,0,0,0,0,113,1,Nami,0,0,19,0,0,0,False,False,False,545,500,UTILITY,3850,2003,0,0,0,0,3340,4,0,0,NONE,0,0,0,9,9,0,0,0,0,0,0,0,10,0,298,34,56,0,1,0,0,0,0,14,0,4,tR_DvJn30ptzLtWOY7y9e6_qcHT5y5HcU1QIQ8zx7lRIrTI,247,Mushimaster,False,Red,UTILITY,0,2.02,0,308,44,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,2023-10-02 09:50:51.963,2023-10-02 09:52:52.970,1,0,0,0,0,0,0,0,22.097165539338107,0.03507920633702042,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,121.1661759,270.253583712538,0,,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05977290685061413,0,0,0,0,0,0.0,0,
EUW1_6615309159,1,3,3,0,0,6629,10,Lux,5644,394,5341,4,0,0,False,True,True,6727,5850,UTILITY,3853,6655,3020,3145,0,0,3364,11,2,5,MIDDLE,2,1,243,41034,11940,3486,0,0,0,0,0,0,5,0,4179,969,6738,0,27,17,76,10,3,14,3,4,tR_DvJn30ptzLtWOY7y9e6_qcHT5y5HcU1QIQ8zx7lRIrTI,247,Mushimaster,False,Blue,UTILITY,28,21.13,0,50370,13615,159,10407,0,1496,0,37,138,61,1,0,5156,704,183,0,0,8,0,0,24,0,1,10,False,2023-10-01 21:19:42.450,2023-10-01 21:40:50.752,130,0,0,0,0,0,1,0,643.990234061543,0.12641635168461718,0,3,8,0,0,0.0,0,0,12,0,0,0,0,0,0,,0,0,1268.5081423,318.2239393995611,0,1.0,3,0,0,0,0,2.0,3,0.5,0,3,0,0,0,0,2,6,0.0,0,0,1.0,0,0,0,0,1,1,0,0,7,1.0,0,0,0,0,0,0,73,12,0,0,0,10,0,0,0,8,7,0,0,0.23952877049048235,0,0,0,3,0,1.1373638303378006,1,
EUW1_6615219983,0,0,13,0,0,15665,16,Gragas,1489,0,31518,16,0,0,True,False,False,10761,9150,UTILITY,6656,3157,3860,3047,3108,3113,3364,20,0,5,BOTTOM,0,1,300,53006,15590,24717,0,0,0,1,0,0,10,0,5357,1533,17642,0,166,62,87,16,6,14,6,4,tR_DvJn30ptzLtWOY7y9e6_qcHT5y5HcU1QIQ8zx7lRIrTI,247,Mushimaster,False,Red,UTILITY,52,39.1,0,63434,18087,0,44377,0,9049,0,61,233,415,1,0,5069,964,2016,0,0,10,0,0,43,0,3,18,False,2023-10-01 20:28:47.734,2023-10-01 21:07:53.640,331,1,0,1,150,0,0,0,462.55845707419445,0.20743107628134871,0,16,0,0,0,0.0,0,0,70,0,0,0,0,0,0,,0,1,2346.1843693,275.2002343591992,0,1.0,12,0,0,0,0,1.125,7,0.4090909090909091,0,1,0,1,0,12,3,20,0.0,0,0,1.0,0,0,0,0,0,1,0,0,13,1.0,0,0,0,0,0,0,15,20,0,0,0,18,1,4,0,18,8,0,1,0.12803262517054836,0,0,0,0,0,1.099738795333312,3,
EUW1_6615189590,0,0,7,0,0,6265,10,Gragas,1306,477,4738,1,0,0,False,False,True,7025,5075,UTILITY,6656,2420,3859,3158,0,0,3364,15,2,7,NONE,5,1,386,21271,6219,982,0,0,0,0,0,0,10,0,5164,1133,6822,0,62,21,26,4,4,14,2,4,tR_DvJn30ptzLtWOY7y9e6_qcHT5y5HcU1QIQ8zx7lRIrTI,247,Mushimaster,False,Red,UTILITY,19,15.7,0,31686,7643,0,7937,0,2711,0,40,101,14,1,0,5249,290,132,0,1,0,0,0,19,1,3,8,True,2023-10-01 20:07:48.576,2023-10-01 20:23:30.993,113,0,0,0,0,0,0,1,486.5029911610345,0.17364133291543865,0,1,0,0,1,1.0,0,0,32,0,0,0,0,0,1,685.910583,0,0,942.6274505,447.18599558954287,0,1.0,9,0,0,0,1,14.0,2,0.5185185185185185,0,2,0,0,0,10,2,17,1.0,0,0,3.0,0,0,0,0,0,0,0,0,10,1.0,0,0,0,0,0,0,10,3,0,0,1,7,0,0,0,14,13,0,0,0.19289109046709826,0,0,0,5,0,1.2214459124221078,3,
