game_id,allInPings,assistMePings,assists,baitPings,baronKills,champExperience,champLevel,championName,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,doubleKills,dragonKills,firstBloodAssist,firstBloodKill,gameEndedInSurrender,goldEarned,goldSpent,individualPosition,item0,item1,item2,item3,item4,item5,item6,itemsPurchased,killingSprees,kills,lane,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,needVisionPings,neutralMinionsKilled,nexusKills,nexusLost,nexusTakedowns,objectivesStolen,participantId,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,summonerId,summonerLevel,summonerName,teamEarlySurrendered,teamId,teamPosition,timeCCingOthers,timePlayed,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageDealtToChampions,totalDamageShieldedOnTeammates,totalDamageTaken,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionClearedPings,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,gameStartTimestamp,gameEndTimestamp,abilityUses,acesBefore15Minutes,alliedJungleMonsterKills,baronTakedowns,bountyGold,buffsStolen,completeSupportQuestInTime,controlWardsPlaced,damagePerMinute,damageTakenOnTeamPercentage,dancedWithRiftHerald,deathsByEnemyChamps,dodgeSkillShotsSmallWindow,doubleAces,dragonTakedowns,earlyLaningPhaseGoldExpAdvantage,elderDragonKillsWithOpposingSoul,elderDragonMultikills,enemyChampionImmobilizations,enemyJungleMonsterKills,epicMonsterKillsNearEnemyJungler,epicMonsterKillsWithin30SecondsOfSpawn,epicMonsterSteals,epicMonsterStolenWithoutSmite,firstTurretKilled,firstTurretKilledTime,flawlessAces,fullTeamTakedown,gameLength,goldPerMinute,hadOpenNexus,highestWardKills,immobilizeAndKillWithAlly,initialBuffCount,initialCrabCount,jungleCsBefore10Minutes,kTurretsDestroyedBeforePlatesFall,kda,killAfterHiddenWithAlly,killParticipation,killedChampTookFullTeamDamageSurvived,killsNearEnemyTurret,killsOnOtherLanesEarlyJungleAsLaner,killsUnderOwnTurret,killsWithHelpFromEpicMonster,knockEnemyIntoTeamAndKill,landSkillShotsEarlyGame,laneMinionsFirst10Minutes,laningPhaseGoldExpAdvantage,legendaryCount,lostAnInhibitor,maxLevelLeadLaneOpponent,mejaisFullStackInTime,moreEnemyJungleThanOpponent,multikills,multikillsAfterAggressiveFlash,outerTurretExecutesBefore10Minutes,outnumberedKills,outnumberedNexusKill,perfectGame,pickKillWithAlly,playedChampSelectPosition,quickCleanse,quickFirstTurret,quickSoloKills,riftHeraldTakedowns,saveAllyFromDeath,scuttleCrabKills,skillshotsDodged,skillshotsHit,snowballsHit,soloBaronKills,soloKills,stealthWardsPlaced,survivedSingleDigitHpCount,survivedThreeImmobilizesInFight,takedownOnFirstTurret,takedowns,takedownsFirstXMinutes,takedownsInEnemyFountain,teamBaronKills,teamDamagePercentage,teamElderDragonKills,teamRiftHeraldKills,tookLargeDamageSurvived,turretPlatesTaken,turretsTakenWithRiftHerald,visionScorePerMinute,wardTakedowns,highestChampionDamage
EUW1_6616095310,0,0,14,0,0,19077,18,Swain,8230,3502,39827,7,1,0,False,True,False,16447,15825,MIDDLE,6653,3020,2421,4637,3116,3065,3340,20,2,14,MIDDLE,7,3,649,217339,47790,14198,0,18,0,0,0,0,3,0,16940,4042,33425,0,216,50,84,28,5,4,7,6,nam4u1eUZMdMBdjHVymGDtb0JdDV5lVKcCZzuX4YWFTxYuzTIrZ7W8w6TQ,13,Himmanuel,False,Blue,MIDDLE,61,35.0,12,234564,51913,0,51526,4,16922,0,212,655,296,1,1,284,80,3902,0,5,3,0,0,13,1,1,7,True,2023-10-02 16:33:49.993,2023-10-02 17:08:49.923,378,0,11,0,0,1,0,1,1483.0713998172373,0.34350402456948304,0,7,3,0,0,0.0,0,0,45,1,0,0,0,0,1,969.2852403999999,1,0,2100.2356686999997,469.86802883927237,0,,7,0,0,0,0,4.0,0,0.6222222222222222,0,5,0,0,0,11,9,68,0.0,0,0,3.0,0,0,2,1,0,4,0,0,17,1.0,0,0,0,0,0,0,54,45,0,0,5,6,0,0,1,28,8,0,0,0.3765646355612865,0,1,0,3,5,0.39971683291397225,1,1.0
EUW1_6564588558,1,0,2,0,0,7889,11,Lillia,1272,1272,13059,11,0,0,False,False,True,7121,6950,MIDDLE,1082,2033,3158,6653,1011,1026,3340,13,0,0,MIDDLE,0,0,296,47724,9760,9453,0,0,0,0,0,0,4,0,8381,541,16589,0,78,19,61,5,4,4,3,12,nam4u1eUZMdMBdjHVymGDtb0JdDV5lVKcCZzuX4YWFTxYuzTIrZ7W8w6TQ,13,Himmanuel,False,Blue,MIDDLE,27,26.33,0,73939,12220,0,26403,0,3458,0,129,191,334,1,0,17833,1918,360,1,1,5,0,0,11,0,0,7,False,2023-08-23 22:25:16.374,2023-08-23 22:51:37.143,163,0,0,0,0,0,0,0,463.7697608383813,0.23275193247906026,0,11,4,0,0,0.0,0,0,7,0,0,0,0,0,1,679.3786259999999,0,0,1580.9856986999998,270.2784951807199,0,,0,0,0,0,0,0.18181818181818182,0,0.09523809523809523,0,0,0,0,1,0,3,64,0.0,0,0,1.0,0,0,0,0,0,0,0,0,2,,0,0,0,0,0,0,27,18,0,0,0,7,0,0,0,2,1,0,0,0.17313939418324648,0,0,0,1,0,0.4381217269326793,0,
EUW1_6564518340,1,0,18,0,0,12035,14,Rammus,2583,2583,44045,10,0,0,False,False,False,9990,9575,TOP,3075,3193,3001,3020,0,0,3340,22,1,3,TOP,2,1,411,71578,10405,9408,0,0,0,0,0,0,6,0,16519,2078,12920,0,55,57,27,10,3,4,4,12,nam4u1eUZMdMBdjHVymGDtb0JdDV5lVKcCZzuX4YWFTxYuzTIrZ7W8w6TQ,12,Himmanuel,False,Red,TOP,41,25.97,0,89778,12484,0,26871,0,2612,0,126,292,292,1,0,1680,0,4541,1,1,4,0,0,9,1,0,6,True,2023-08-23 21:51:09.045,2023-08-23 22:17:07.233,149,0,0,0,0,0,0,1,480.6323171801865,0.23725717989643655,0,10,0,0,0,0.0,0,0,75,0,0,0,0,0,1,740.0990918,0,2,1558.4488436,384.621548711129,0,,14,0,0,0,0,2.1,4,0.45652173913043476,0,1,0,1,0,7,0,53,0.0,0,0,1.0,0,0,0,0,0,0,0,0,17,1.0,0,0,0,0,0,0,6,0,0,0,1,5,0,4,0,21,7,0,1,0.10102340676534025,0,1,0,2,0,0.3702246668460726,0,
EUW1_6523033844,0,0,0,0,0,123,1,Lillia,0,0,17,0,0,0,False,False,False,500,500,MIDDLE,2033,0,0,0,0,0,3340,2,0,0,NONE,0,0,0,507,50,0,0,0,0,0,0,0,8,0,122,0,60,0,2,0,0,0,1,4,1,14,nam4u1eUZMdMBdjHVymGDtb0JdDV5lVKcCZzuX4YWFTxYuzTIrZ7W8w6TQ,12,Himmanuel,True,Red,MIDDLE,0,1.78,0,984,131,0,60,0,5,0,0,0,0,1,0,354,81,0,0,0,0,0,0,0,0,0,0,False,2023-07-27 22:06:12.869,2023-07-27 22:08:00.344,2,0,0,0,0,0,0,0,73.42176869589842,0.039734615432679476,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,107.8162847,278.251101709499,0,,0,0,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4922536995382302,0,0,0,0,0,0.0,0,
EUW1_6522951863,0,0,1,0,0,11868,14,Yasuo,345,345,22400,17,0,0,False,False,False,9802,9733,MIDDLE,1054,3078,3006,6672,3035,1036,3340,22,0,5,MIDDLE,0,1,315,11032,1065,4599,0,0,0,1,0,0,3,0,121216,13431,27891,0,214,19,134,6,5,4,7,14,nam4u1eUZMdMBdjHVymGDtb0JdDV5lVKcCZzuX4YWFTxYuzTIrZ7W8w6TQ,12,Himmanuel,False,Blue,MIDDLE,16,28.7,0,133383,15631,0,35377,0,1075,0,163,116,536,1,0,1134,1134,2886,0,0,11,0,0,11,0,0,6,False,2023-07-27 21:28:52.469,2023-07-27 21:57:34.533,373,0,0,0,150,0,0,0,543.8095259842322,0.27716843689379106,0,17,2,0,0,0.0,0,0,20,0,0,0,0,0,0,,0,0,1724.6318889,341.0254914601678,0,,1,0,0,0,0,0.35294117647058826,0,0.23076923076923078,0,4,0,0,0,0,3,48,0.0,0,0,1.0,0,0,0,0,0,1,0,0,2,1.0,0,0,0,0,0,0,18,13,0,0,4,6,1,0,0,6,4,0,0,0.17546044382360906,0,0,0,0,0,0.39585065723965307,0,
EUW1_6522890583,0,1,1,0,0,8365,11,Katarina,1461,1461,5706,10,0,0,False,False,True,6735,5650,MIDDLE,6672,3006,3057,1036,1036,0,3340,16,0,4,NONE,0,1,122,39616,5666,623,0,0,0,0,0,0,1,0,23096,6115,12988,0,49,33,0,6,2,4,5,14,nam4u1eUZMdMBdjHVymGDtb0JdDV5lVKcCZzuX4YWFTxYuzTIrZ7W8w6TQ,12,Himmanuel,False,Blue,MIDDLE,0,17.48,0,63504,12573,0,14084,0,595,0,108,1,189,1,0,792,792,472,1,1,2,0,0,6,0,0,4,False,2023-07-27 21:01:46.178,2023-07-27 21:19:15.131,88,0,0,0,600,0,0,0,719.0664976059704,0.22225861264938235,0,10,16,0,0,0.0,0,0,0,0,0,0,0,0,0,,0,0,1049.1534729999998,385.19003863305613,0,,0,0,0,0,0,0.5,1,0.29411764705882354,0,1,0,1,0,0,0,64,0.0,0,0,0.0,0,0,0,0,0,1,0,0,2,,0,0,0,0,0,0,82,0,0,0,3,4,0,0,0,5,3,0,0,0.30621749238311136,0,0,0,0,0,0.35513904973904675,0,
EUW1_6522782108,0,0,5,0,0,6930,10,Katarina,85,85,7194,7,0,0,False,False,True,5354,5100,MIDDLE,1082,3152,0,3020,1029,0,3340,15,0,0,NONE,0,0,253,52341,9774,3260,0,0,0,0,0,0,5,0,6419,1098,9512,0,53,32,0,5,2,4,4,14,nam4u1eUZMdMBdjHVymGDtb0JdDV5lVKcCZzuX4YWFTxYuzTIrZ7W8w6TQ,12,Himmanuel,False,Blue,MIDDLE,0,16.8,0,59320,11432,0,12773,0,393,0,100,0,150,1,0,559,559,0,0,0,3,0,0,4,0,0,3,False,2023-07-27 20:10:51.877,2023-07-27 20:27:40.039,90,0,0,0,0,0,0,0,680.2466406543119,0.2206687281969319,0,7,2,0,0,0.0,0,0,0,0,0,0,0,0,0,,0,0,1008.3801176,318.62836270917666,0,,0,0,0,0,0,0.7142857142857143,0,0.5,0,0,0,0,0,0,0,63,0.0,0,0,1.0,0,0,0,0,0,0,0,0,4,,0,0,0,0,0,0,19,0,0,0,0,3,0,2,0,5,3,0,0,0.31566745419281195,0,0,0,1,0,0.2838441538194169,0,
EUW1_6521160130,0,0,8,0,0,15504,16,Lillia,9014,3852,20558,13,2,0,False,False,False,15520,15400,MIDDLE,4637,3089,3157,3108,6653,3158,3340,21,3,12,TOP,4,2,579,113199,22787,4859,0,0,0,0,0,0,8,0,8807,822,31525,0,131,36,62,9,6,4,6,14,nam4u1eUZMdMBdjHVymGDtb0JdDV5lVKcCZzuX4YWFTxYuzTIrZ7W8w6TQ,11,Himmanuel,False,Red,MIDDLE,29,31.65,0,173609,28951,0,37501,0,7505,0,165,266,490,1,0,51601,5341,1116,2,4,8,0,0,8,0,2,4,True,2023-07-26 21:32:58.844,2023-07-26 22:04:37.996,238,0,0,0,750,0,0,0,914.5527875619631,0.21519280399815338,0,13,12,0,2,1.0,0,0,10,0,0,0,0,0,0,,0,0,1899.3897894,490.2750879733407,0,,2,0,0,0,0,1.5384615384615385,0,0.4444444444444444,0,2,1,3,0,0,4,56,0.0,0,1,2.0,0,0,2,1,0,1,0,0,11,1.0,0,0,0,0,0,0,62,13,0,0,6,4,1,0,0,20,9,0,0,0.3080481302142484,0,0,0,2,0,0.27372698774468246,2,
EUW1_6521105695,0,0,1,0,0,6841,10,Yasuo,3841,2040,8412,5,0,0,False,False,True,5791,5200,MIDDLE,1055,6672,3006,1018,0,0,3340,11,0,2,NONE,0,1,235,6428,389,4876,0,4,0,0,0,0,3,0,61468,6617,3912,0,117,8,82,2,3,4,2,14,nam4u1eUZMdMBdjHVymGDtb0JdDV5lVKcCZzuX4YWFTxYuzTIrZ7W8w6TQ,11,Himmanuel,False,Blue,MIDDLE,12,15.65,2,68136,7247,0,8798,0,1334,0,106,59,72,1,0,240,240,10,0,0,2,0,0,5,0,0,3,False,2023-07-26 21:08:35.909,2023-07-26 21:24:15.717,209,0,2,0,0,0,0,0,462.61122861160015,0.19992549851491842,0,5,1,0,0,0.0,0,0,13,0,0,0,0,0,0,,0,0,939.9658988,369.6909797537647,0,,1,0,0,0,0,0.6,0,0.3,0,1,1,0,0,0,2,64,0.0,0,0,1.0,0,0,0,0,0,0,0,0,2,1.0,0,0,0,0,0,0,9,6,0,0,1,3,0,0,0,3,2,0,0,0.22153871546371368,0,0,0,3,0,0.33970891385321106,0,
EUW1_6516934693,1,2,3,0,0,13632,15,Talon,3310,3310,17823,11,0,0,False,False,False,11734,10700,MIDDLE,6691,3814,3047,3074,1036,0,3340,22,1,6,MIDDLE,2,1,389,0,0,4139,0,8,0,0,0,0,8,0,124800,18540,21781,0,49,125,129,13,5,4,6,14,nam4u1eUZMdMBdjHVymGDtb0JdDV5lVKcCZzuX4YWFTxYuzTIrZ7W8w6TQ,11,Himmanuel,False,Red,MIDDLE,6,29.62,0,127214,20600,0,26468,8,1254,0,153,172,342,1,0,2413,2060,546,1,1,5,0,0,10,0,0,6,True,2023-07-24 19:01:59.403,2023-07-24 19:31:36.580,316,0,0,0,0,2,0,0,695.4034948742618,0.20123923358705342,0,11,2,0,0,0.0,0,0,1,2,0,0,0,0,0,,2,2,1777.406606,396.112683729527,0,,0,0,0,0,0,0.8181818181818182,0,0.24324324324324326,0,5,0,0,0,0,31,58,0.0,0,0,1.0,0,0,0,0,0,0,0,0,4,1.0,0,0,0,0,0,0,13,108,0,0,4,6,0,1,0,9,2,0,1,0.17666930118622057,0,1,0,2,5,0.34586261828175147,0,
